brazo,braso,braco
bravo,brabo,vravo
broma,vroma,brouma
bruja,vruja,bruga
brisa,briza,vrisa
brillo,briyo,brilo
brote,vrote,brotte
blusa,vlusa,bluza
blanco,vlanco,blancco
bloque,vloque,bloke
pueblo,puevlo,puebloo
cable,cavle,kable
tabla,tavla,tablla
clavo,clabo,vlavo
clase,claze,clace
clima,cllima,klima
cloro,clouro,clorro
chicle,chique,chiclee
tecla,teclla,tekla
ancla,anclla,ankla
crema,cremma,krema
cruce,cruse,cruze
crudo,cruddo,krudo
cresta,crezta,crecta
craneo,crannio,kraneo
micro,mico,mikro
dragón,draggon,drgon
drama,drrama,dramma
draga,dragga,dragaa
droga,drogga,drooga
dril,driyl,drill
padre,padree,paddre
madre,maddre,madree
piedra,pieddra,pydra
frase,fraze,frace
fresa,freza,frecca
frio,friio,fryo
fruta,frutta,frutha
freno,frenno,frenoo
frotar,frottar,frotthar
cofre,coffre,kofre
flaco,flacco,flako
flama,flamma,vlama
flecha,flesha,fletcha
fleco,flecco,fleko
flota,flotta,vlota
fluido,fluildo,fluydo
chifla,chiffla,chiflaa
grano,granno,granoo
grasa,graza,graca
gratis,grattis,gratic
gruta,grutta,gruttha
grillo,griyo,grilo
grito,gritto,gryto
ogro,oggro,ogroo
tigre,tigger,tigree
globo,glovbo,glovo
regla,reggla,reglla
siglo,sigglo,sigllo
gladiolo,gladiollo,gladyolo
iglesia,iglezia,iglecia
plato,platto,platoo
plano,planno,planoo
pluma,plumma,plumaa
plomo,plommo,plommoo
planta,plantta,plantaa
plata,platta,plattha
soplo,sopplo,sopllo
copla,coppla,kopla
prado,praddo,pradoo
precio,presio,prezio
primo,primmo,prymo
presa,preza,preca
prosa,proza,proca
prueba,pruvea,prueva
compra,conpra,comppra
traje,trashe,trage
tren,treenn,trene
trigo,triggo,trygo
trozo,troso,troco
truco,trucco,truko
trote,trotte,trotee
letra,lettra,lethra
cuatro,cuattro,quatro
potro,pottro,pothro
abrazo,abraso,abraco
abrigo,avriigo,abriggo
abril,avril,abryl
abrir,avrir,abryr
blindado,vlindado,blindaddo
bloqueo,vloqueo,blokeo
clavel,clavvel,clabel
clínica,clinica,klinica
cobalto,covallo,cobaltto
creer,creerr,crere
criado,criaddo,cryado
criollo,crioyo,criolo
cruz,qruz,crus
cuadro,cuaddro,kuadro
cumple,cunple,cumplle
flexible,flecsible,flesible
florero,florrero,floreiro
flúor,fluor,fluuor
franela,frannela,flanela
frasco,frazco,fracko
frente,frentte,frenthee
fríjol,frixol,friyol
frito,fritto,fryto
frontera,fronttera,vrontera
fruncir,frunsir,frunzir
frutilla,frutiya,frutila
glaciar,glacyar,glasiar
gladiador,gladyador,gladiaddor
glamour,glamor,glamur
glándula,glandula,glandulla
glaseado,glazeado,glaseaddo
glosario,glosaryo,glozario
glúteo,gluteo,glutteo
grabado,gravado,grabbado
gracia,grazzia,gracya
graduado,gradduado,graduaddo
gráfica,grafica,grafika
gramo,grammo,gramoo
grande,grandde,grandee
granizo,graniso,granico
granja,granga,grannja
grave,grabe,vrave
gremio,gremiio,gremyo
grieta,grietta,gryeta
grifo,griffo,gryfo
gris,griz,gric
grosero,grozero,grocero
grueso,gruezo,grueco
grumo,grummo,grumoo
grupo,gruppo,gruppoo
guante,guantte,guantee
habla,abla,havla
hombro,ombro,onbro
inflado,infllado,infladdo
inglés,ingles,inglez
jamón,jamon,xamon
ladrillo,ladriyos,ladrilo
ladrón,ladron,ladronn
libre,livre,libbre
librería,livreria,librarya
libro,livro,libbro
liebre,lievre,lievbre
limpio,linpio,limpyo
lucha,lusha,luchha
maestro,maeztro,maectro
metro,mettro,mettroo
mezcla,mecla,mezclla
mueble,muevle,mueblle
mugre,muggre,mugree
neblina,nevlina,neblinna
negro,neggro,negroo
niebla,nievla,nyebla
nombre,nonbre,nommbre
nublado,nuvlado,nubladdo
oblea,ovlea,obllea
ombligo,onbligo,omvligo
oprimir,oprimmir,oprimyr
orden,ordden,ordenn
ostra,oztra,osttra
padrino,paddrino,padryno
palabra,palavra,palabbra
parque,parqque,parke
patria,pattria,patrya
quebrar,quevrar,kebrar
recreo,reccreo,rekreo
refresco,refrezco,refrecco
roble,rovle,roblle
sable,savle,sablle
sangre,sanggre,sangree
sobre,sovre,sobbre
sombrero,sonbrero,somvrero
soplo,sopplo,sopllo
tablero,tavlero,tablerro
templo,tenplo,templlo
timbre,tinbre,timvbre
trabajo,travajo,trabbajo
tractor,trattor,traktor
trampa,tranpa,tramppa
trébol,trebol,trevbol
trece,trese,treze
treinta,treintta,treynta
triciclo,trisiclo,tricicclo
triste,trizte,tristte
trompo,tronpo,tromppo
tronco,troncco,tronko
tropa,troppa,tropaa
trueno,truenno,truenoo
